City,ACCOMMODATION (721),ADMIN. & SUPPORT & WASTE MANAG. & REMED. SERVICES (56),"AGRICULTURE, FORESTRY, FISHING & HUNTING (11)","ARTS, ENTERTAINMENT AND RECREATION (71)",CONSTRUCTION (23),EDUCATIONAL SERVICES (61),FINANCE & INSURANCE (52),FOOD SERVICES & DRINKING PLACES (722),HEALTH CARE & SOCIAL ASSISTANCE (62),INFORMATION (51),MANAGEMENT OF COMPANIES & ENTERPRISES (55),MANUFACTURING (31-33),"MINING, QUARRYING, & OIL & GAS EXTRACTION (21)",OTHER SERVICES-EXCEPT PUBLIC ADMINISTRATION (81),PRIOR-PERIOD PAYMENTS & REFUNDS,PRIVATE MOTOR VEHICLE SALES,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES (54)",PUBLIC ADMINISTRATION (92),"REAL ESTATE, RENTAL & LEASING (53)","RETAIL-BUILD. MATERIAL, GARDEN EQUIP. & SUPPLIES DEALERS (444)",RETAIL-CLOTHING & CLOTHING ACCESSORIES STORES (448),RETAIL-ELECTRONICS & APPLIANCE STORES (443),RETAIL-FOOD & BEVERAGE STORES (445),RETAIL-FURNITURE & HOME FURNISHINGS STORES (442),RETAIL-GASOLINE STATIONS (447),RETAIL-GENERAL MERCHANDISE STORES (452),RETAIL-HEALTH & PERSONAL CARE STORES (446),RETAIL-MISCELLANEOUS STORE RETAILERS (453),RETAIL-MOTOR VEHICLE & PARTS DEALERS (441),RETAIL-NONSTORE RETAILERS (454),"RETAIL-SPORTING GOODS, HOBBY, MUSIC & BOOK STORES (451)",SPECIAL EVENT SALES,TRANSPORTATION & WAREHOUSING (48-49),UNKNOWN/NONCLASSIFIABLE,UTILITIES (22),WHOLESALE TRADE-DURABLE GOODS (423),WHOLESALE TRADE-ELECTRONIC MARKETS (425),WHOLESALE TRADE-NONDURABLE GOODS (424)
American Fork,360525.0,625281.0,1750000.0,1132810.0,10855679.0,69947.0,1510886.0,25740513.0,368700.0,6514315.0,25000.0,3709354.0,60000.0,12382993.0,2622074.0,4500000.0,4496886.0,90000.0,3964900.0,29535937.0,5219505.0,3463441.0,4360567.0,2896641.0,3000000.0,45182823.0,5071921.0,7479307.0,109956893.0,19033396.0,7849449.0,50000.0,498043.0,36566.0,5750000.0,15336406.0,459562.0,11190788.0
Beaver City,988520.0,17144.0,400000.0,7000.0,29553.0,10000.0,457083.0,2263825.0,60000.0,495267.0,1000.0,1308568.0,,1021247.0,142192.0,700000.0,153031.0,,143519.0,1005793.0,102242.0,26765.0,2250000.0,9064.0,3750000.0,554323.0,108995.0,235502.0,828081.0,1871246.0,36255.0,35000.0,20000.0,3747.0,600000.0,413988.0,80000.0,146624.0
Blanding,408578.0,45672.0,1000.0,20000.0,305743.0,50000.0,17919.0,600000.0,60000.0,485187.0,5000.0,77542.0,,363436.0,59705.0,900000.0,143740.0,500000.0,59894.0,2720256.0,80220.0,111496.0,2250000.0,3258.0,1500000.0,748656.0,73134.0,124955.0,394683.0,1473315.0,76601.0,,20000.0,527.0,90000.0,308763.0,8000.0,232607.0
Bountiful,100000.0,975548.0,4000.0,585659.0,1647021.0,81571.0,1116141.0,11839024.0,935892.0,5678745.0,25000.0,2171121.0,5000.0,5958817.0,1671381.0,5500000.0,3301438.0,900000.0,2053241.0,1898525.0,2654922.0,3819206.0,24807045.0,1691416.0,2500000.0,2278386.0,2195173.0,3755609.0,58937846.0,17497067.0,2248783.0,150000.0,35000.0,16822.0,8500000.0,4763409.0,131656.0,641651.0
Brigham,655681.0,186299.0,3000.0,600000.0,1456710.0,28719.0,201424.0,6912003.0,297620.0,2767801.0,15000.0,9242535.0,1000.0,3281464.0,715733.0,3250000.0,796656.0,1000.0,1868664.0,2727400.0,440580.0,1228067.0,11722561.0,507641.0,3407129.0,628164.0,355527.0,896487.0,18008684.0,6288043.0,596162.0,30000.0,45507.0,3732.0,2750000.0,5838242.0,72838.0,243912.0
Cedar City,3857794.0,2068165.0,12530.0,306753.0,5459777.0,93952.0,509364.0,18480935.0,406948.0,6172840.0,25000.0,10380705.0,6000.0,4691557.0,1864546.0,5750000.0,2716634.0,450000.0,3114140.0,33835542.0,3632838.0,1340270.0,18613982.0,4286413.0,8010265.0,41470340.0,1985888.0,5443294.0,22375697.0,13698515.0,5330182.0,2000000.0,144878.0,13895.0,5250000.0,9560020.0,464017.0,3134528.0
Centerville,15000.0,152151.0,1000.0,5000.0,511036.0,16733.0,201150.0,10072941.0,77432.0,3042694.0,25000.0,4861880.0,5000.0,5479001.0,473481.0,3000000.0,1529829.0,,1054776.0,31058974.0,801465.0,915526.0,5422530.0,750207.0,2000000.0,34675399.0,269898.0,2692287.0,15886141.0,6781237.0,2956479.0,450000.0,15000.0,7713.0,2750000.0,3860794.0,98099.0,523989.0
Clearfield,250000.0,411950.0,3000.0,200000.0,1500104.0,47205.0,688645.0,6994824.0,47348.0,4484814.0,900000.0,6130462.0,25000.0,3116676.0,3258839.0,2500000.0,3058427.0,70000.0,2652768.0,2560915.0,1097010.0,696753.0,5457813.0,154317.0,5686790.0,1238893.0,383841.0,5416833.0,7771947.0,12028725.0,847292.0,200000.0,19781.0,7998.0,4250000.0,5865460.0,299934.0,795577.0
Cottonwood Heights,338069.0,376768.0,5000.0,30000.0,4036742.0,31610.0,1091158.0,9147384.0,145350.0,7617201.0,500000.0,2468347.0,4000.0,1325991.0,1893617.0,5000000.0,5112754.0,200000.0,1465456.0,19174663.0,3449918.0,4496026.0,23700858.0,299696.0,2500000.0,24313313.0,4927604.0,3416779.0,1675349.0,16851882.0,1941153.0,80000.0,60000.0,27932.0,6250000.0,3673325.0,84283.0,537392.0
Delta,450000.0,5795.0,150000.0,80000.0,2231612.0,2000.0,62581.0,1165638.0,50000.0,899459.0,20000.0,1174161.0,200000.0,725599.0,244994.0,700000.0,228993.0,,1744926.0,2286678.0,103879.0,158133.0,4750000.0,58403.0,2250000.0,1077557.0,174432.0,339203.0,2200894.0,1574930.0,29814.0,20000.0,2000.0,656.0,600000.0,809307.0,20829.0,822455.0
Draper,1781957.0,1614114.0,192251.0,1052671.0,4558977.0,39754.0,2192426.0,26187525.0,659011.0,13553169.0,70000.0,21356432.0,20000.0,5623243.0,5132828.0,8000000.0,10210296.0,3000.0,15331639.0,13367339.0,6615104.0,10454732.0,32861512.0,32953892.0,6000000.0,11421043.0,3842402.0,12111395.0,146944719.0,26536926.0,6864436.0,150000.0,700000.0,41894.0,10000000.0,21400638.0,360324.0,5998566.0
